SymInit: Symbol-SearchPath: '.;E:\Clownfish\ClownfishVoiceChanger;E:\Clownfish\ClownfishVoiceChanger;C:\WINDOWS;C:\WINDOWS\system32;SRV*C:\websymbols*http://msdl.microsoft.com/download/symbols;', symOptions: 530, UserName: 'shaik'
OS-Version: 6.2.9200 () 0x100-0x1
E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe:ClownfishVoiceChanger.exe (00007FF7B8940000), size: 843776 (result: 0), SymType: '-nosymbols-', PDB: 'E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe', fileVersion: 1.6.6.0
C:\WINDOWS\SYSTEM32\cryptsp.dll:cryptsp.dll (00007FFA8A5B0000), size: 98304 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\cryptsp.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\urlmon.dll:urlmon.dll (00007FFA84B10000), size: 2027520 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\urlmon.dll', fileVersion: 11.0.22000.527
C:\WINDOWS\SYSTEM32\PROPSYS.dll:PROPSYS.dll (00007FFA86B80000), size: 1011712 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\PROPSYS.dll', fileVersion: 7.0.22000.37
C:\WINDOWS\SYSTEM32\UMPDC.dll:UMPDC.dll (00007FFA89810000), size: 77824 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\UMPDC.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\WINHTTP.dll:WINHTTP.dll (00007FFA85960000), size: 1097728 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\WINHTTP.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\iertutil.dll:iertutil.dll (00007FFA84790000), size: 2830336 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\iertutil.dll', fileVersion: 11.0.22000.556
C:\WINDOWS\SYSTEM32\srvcli.dll:srvcli.dll (00007FFA84A50000), size: 163840 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\srvcli.dll', fileVersion: 6.2.22000.434
C:\WINDOWS\SYSTEM32\netutils.dll:netutils.dll (00007FFA89A30000), size: 49152 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\netutils.dll', fileVersion: 6.2.22000.434
C:\WINDOWS\system32\rsaenh.dll:rsaenh.dll (00007FFA89EA0000), size: 217088 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\system32\rsaenh.dll', fileVersion: 6.2.22000.282
C:\WINDOWS\SYSTEM32\CRYPTBASE.dll:CRYPTBASE.dll (00007FFA8A5D0000), size: 49152 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\CRYPTBASE.dll', fileVersion: 6.2.22000.1
